	A	B	mean(A)	mean(B)	meandiff	se	T	p-adj	hedges	feature	df
0	setosa	versicolor	1.6082053643578569	1.777318931622122	-0.16911356726426519	0.01713055859965254	-9.872040440508188	2.1538326677728037e-14	-2.1163551981147606	sepal_length_cm	
1	setosa	virginica	1.6082053643578569	1.8806543445968618	-0.2724489802390049	0.01713055859965254	-15.904267140741748	2.1538326677728037e-14	-3.18579260800767	sepal_length_cm	
2	versicolor	virginica	1.777318931622122	1.8806543445968618	-0.1033354129747397	0.01713055859965254	-6.0322267002335614	3.751214527891733e-08	-1.110945998428071	sepal_length_cm	
3	setosa	versicolor	3.418	2.77	0.6480000000000001	0.06808358208599093	9.51771308362658	2.1538326677728037e-14	1.8423098473435022	sepal_width_cm	
4	setosa	virginica	3.418	2.9739999999999998	0.4440000000000004	0.06808358208599093	6.521396001744143	3.147408667025786e-09	1.248225769160491	sepal_width_cm	
5	versicolor	virginica	2.77	2.9739999999999998	-0.20399999999999974	0.06808358208599093	-2.9963170818824376	0.008952134447917537	-0.636232824084944	sepal_width_cm	
6	setosa	versicolor	1.464	4.26	-2.796	0.07084101198876139	-39.468662593972724	2.1538326677728037e-14	-7.833166796143945	petal_length_cm	62.11749466838925
7	setosa	virginica	1.464	5.5520000000000005	-4.088000000000001	0.08181612036157918	-49.96570335935563	4.884981308350689e-15	-9.916466958276208	petal_length_cm	58.59281546988159
8	versicolor	virginica	4.26	5.5520000000000005	-1.2920000000000007	0.10250893440404628	-12.603779441384987	0.0	-2.5014150502595265	petal_length_cm	95.57043500645413
9	setosa	versicolor	0.24400000000000002	1.3259999999999998	-1.0819999999999999	0.031811947441173744	-34.012378588290474	0.0	-6.75028280933847	petal_width_cm	75.51329508103237
10	setosa	virginica	0.24400000000000002	2.026	-1.7819999999999998	0.041695690571627406	-42.73822967241114	0.0	-8.482062973348096	petal_width_cm	63.59369698483092
11	versicolor	virginica	1.3259999999999998	2.026	-0.7	0.04786204665707561	-14.625367047410133	1.4210854715202004e-14	-2.902630390994955	petal_width_cm	89.04337511251657
